user,date,text,favorite_count,busqueda
paymentsjournal,Fri Oct 16 18:30:03 +0000 2020,"Since the onset of various #RTP systems being launched on a regular basis across various global markets, there were… https://t.co/bMy9HqAxBQ",0,BBVA
HoustonChron,Fri Oct 16 18:29:20 +0000 2020,"BBVA’s Rosilyn Houston on growth, mentoring and impact https://t.co/2mfJ7KsZfr",2,BBVA
RPAutomation,Fri Oct 16 18:27:38 +0000 2020,"BBVA's Rueda to speak at Banking Automation Summit - https://t.co/kADHTb4QWm #IntelligentRPA 
https://t.co/1YfsuEvOep",0,BBVA
KikeFinanzas,Fri Oct 16 18:21:40 +0000 2020,RT @alvaroortiz1968: A pleasure to share our Big Data job at the ECB workshop on High Frequency Data... and now with you !!! We will contin…,0,BBVA
themoneycloud,Fri Oct 16 18:16:49 +0000 2020,BBVA’s Rueda to speak at Banking Automation Summit https://t.co/g9nDvjqy4r,0,BBVA
ILoveBooks786,Fri Oct 16 18:10:02 +0000 2020,RT @Finextra: Company announcement: Almost 800 coders will compete in BBVA 2020 hackathon https://t.co/qLJZKfy2bj #fintech,0,BBVA
LianLi53108135,Fri Oct 16 18:06:01 +0000 2020,"RT @bbvaOpenMind: Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural allies…",0,BBVA
Morrie2019,Fri Oct 16 17:52:06 +0000 2020,"RT @File411: USA v $617,524.24 fr BBVA Compass Bank Account XXX in the Name of Francisco Ley Tan
2017n- a Grand Jury returned a superseding…",0,BBVA
techtrendingnow,Fri Oct 16 17:45:38 +0000 2020,"RT @SaeedBaygi: Today In Digital-First #Banking: Mizuho #Bank, JCB, Fujitsu Will Test #Blockchain ID #Tech; BBVA Takes Part In UK Instant P…",0,BBVA
SaeedBaygi,Fri Oct 16 17:45:33 +0000 2020,"Today In Digital-First #Banking: Mizuho #Bank, JCB, Fujitsu Will Test #Blockchain ID #Tech; BBVA Takes Part In UK I… https://t.co/ykOc1VJsSH",0,BBVA
ecology_tweets,Fri Oct 16 17:40:20 +0000 2020,"RT @bbvaOpenMind: Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural allies…",0,BBVA
Future_Assetmgt,Fri Oct 16 17:36:01 +0000 2020,BBVA Pilots SWIFT gpi Integration into UK’s FPS Infrastructure https://t.co/OEQ9ZId3gG #wealthtech #regtech,0,BBVA
bbvaOpenMind,Fri Oct 16 17:30:26 +0000 2020,"Microplastics can now be found on land, in our oceans, and even in the air we breathe. 😱 We talk about the natural… https://t.co/RnvRHjHVEJ",2,BBVA
SmoothD64,Sat Oct 17 19:00:42 +0000 2020,"RT @over50panther: @911CORLEBRA777 Amazing thread! Two odd location details: Chinese National, Tao Liu, had VIP pass at Wheeling, West Virg…",0,bbva
AllenAC009,Sat Oct 17 18:51:08 +0000 2020,"RT @HouSymphony: Hear Grieg's mysterious ""In the Hall of the Mountain King,"" performed by Rob Johnson, associate principal horn, then join…",0,bbva
InteSystemsNsk,Sat Oct 17 18:32:42 +0000 2020,"Xerox: From 40 minutes down to 10, that's how much faster BBVA made onboarding when it started using Xerox Capture… https://t.co/Extc3g1N8e",0,bbva
HouSymphony,Sat Oct 17 18:30:00 +0000 2020,"Hear Grieg's mysterious ""In the Hall of the Mountain King,"" performed by Rob Johnson, associate principal horn, the… https://t.co/9oDv9YzIBD",4,bbva
