user,date,text,favorite_count,busqueda
samtejadab,Sat Oct 17 20:19:03 +0000 2020,"RT @GIEDSOCE: A estas horas estaría ebrio pidiendo Adelanto Sueldo del BBVA para pedir otra ronda más de venenos en Tizon, csm.",0,BBVA
SketchBlog,Sat Oct 17 20:18:46 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
axelsolisrmz,Sat Oct 17 20:18:05 +0000 2020,"RT @axelsolisrmz: #MiPronostico para hoy en el Estadio 🏟 BBVA !

@Rayados 3 
@ClubPueblaMX 0 
🔥🔥🔥 https://t.co/rbwvYZnW9f",0,BBVA
LuisitoCisnero3,Sat Oct 17 20:18:01 +0000 2020,RT @Tuzologia: Mazatlán está viviendo su primer torneo en la Liga BBVA MX Femenil y tras 11 partidos jugados estos son sus números comparad…,0,BBVA
jparada21,Sat Oct 17 20:16:34 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
rosacollantes1,Sat Oct 17 20:16:15 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
karewtos,Sat Oct 17 20:15:51 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
NoticiasNotifan,Sat Oct 17 20:15:46 +0000 2020,Getafe 1 - 0  Barcelona - Liga BBVA 2020/21 - Fecha 6  - Gol de Mata https://t.co/ozkllFQXcT,0,BBVA
raquelgarciade2,Sat Oct 17 20:15:15 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
mlgplula,Sat Oct 17 20:14:39 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
lperaira,Sat Oct 17 20:14:26 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
ic_elisabeth,Sat Oct 17 20:12:50 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
ainamoza,Sat Oct 17 20:10:59 +0000 2020,"RT @mercoranking: Las empresas con mejor reputación en el Perú en 2020: @AlicorpOficial apararece en primer lugar, seguida de @BackusOficia…",0,BBVA
grard0620,Sat Oct 17 20:10:29 +0000 2020,La piedra que tanto tiramos y criticamos callándonos la boca 👏🏼 ganando por primera vez al @realmadrid el @Cadiz_CF… https://t.co/10Ysk3z88H,0,BBVA
BBVARe_mx,Sat Oct 17 20:09:45 +0000 2020,"@rithond Hola, buenas tardes. Te atiende Carolina. En efecto, puedes solicitar tu tarjeta física en una de nuestras… https://t.co/EGhqvcUrAg",0,BBVA
AtencionProfeco,Sat Oct 17 20:09:33 +0000 2020,@eduardocasdi @JessCiin @BBVARe_mx @BBVA_Mex @bbva @Profeco @CondusefMX ¡Estamos para servirte!,0,BBVA
dgsola,Sat Oct 17 20:09:21 +0000 2020,"RT @Evacorredoira: Ei @bbva , cuánto abuso. Es indecente.",0,BBVA
Jevilona,Sat Oct 17 20:09:08 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
amromeroj,Sat Oct 17 20:07:22 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
MargaLarra,Sat Oct 17 20:06:34 +0000 2020,"RT @Xaguzar2: El BBVA, a partir de enero, va a cobrar 2 euros por retirar dinero en ventanilla y sube las comisiones si la nómina domicilia…",0,BBVA
