,user,date,text,favorite_count,busqueda
214,FdezCardesa,Sat Oct 17 11:49:08 +0000 2020,"RT @dhgcorrecaminos: Pues habrá q ir buscando otro banco, a mi m da igual, pero x ejemplo mi madre no sabe manejar un cajero y no le vais a…",0,busqueda
215,JavierRogerWate,Sat Oct 17 11:47:12 +0000 2020,"RT @dhgcorrecaminos: Pues habrá q ir buscando otro banco, a mi m da igual, pero x ejemplo mi madre no sabe manejar un cajero y no le vais a…",0,busqueda
216,Finanzas333,Sat Oct 17 11:29:09 +0000 2020,"RT @Perseo662: @Finanzas333 @julioastillero Es conocido por los usuarios de @bbva, que sus datos circulan en un montón de manos dentro y fu…",0,busqueda
217,porn_isVIOLENCE,Sat Oct 17 11:27:37 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
218,Garca53799873,Sat Oct 17 10:19:24 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
219,telescopiodigit,Sat Oct 17 09:55:03 +0000 2020,Banco de Alimentos consigue una de las donaciones de BBVA https://t.co/ODfwj1l7Gm https://t.co/Nd41eBk9I8,0,busqueda
220,CarlosR_Chepen,Sat Oct 17 09:51:26 +0000 2020,RT @Elnomada9: #Peru en el banco BBVA le están cobrando 50 soles mensuales “de mantenimiento “ a los extranjeros.... qué tal? @MORCILLA17,0,busqueda
221,yoxezgz,Sat Oct 17 09:43:34 +0000 2020,"RT @dhgcorrecaminos: Pues habrá q ir buscando otro banco, a mi m da igual, pero x ejemplo mi madre no sabe manejar un cajero y no le vais a…",0,busqueda
222,dhgcorrecaminos,Sat Oct 17 09:31:55 +0000 2020,"Pues habrá q ir buscando otro banco, a mi m da igual, pero x ejemplo mi madre no sabe manejar un cajero y no le vai… https://t.co/ibbOAD4ath",21,busqueda
223,AdamezFelix,Sat Oct 17 09:31:37 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
224,FranVelasquez50,Sat Oct 17 09:27:54 +0000 2020,RT @Elnomada9: #Peru en el banco BBVA le están cobrando 50 soles mensuales “de mantenimiento “ a los extranjeros.... qué tal? @MORCILLA17,0,busqueda
225,kiara_71,Sat Oct 17 09:24:59 +0000 2020,@seryico @bbva Yo me iré también BBVA si empiezan a cobrar comisiones como tu bien dices nos miraremos otro Banco y… https://t.co/6kcaJUiTqK,0,busqueda
226,kiara_71,Sat Oct 17 09:21:41 +0000 2020,"RT @seryico: Me he quedado muerto con el movimiento (a peor) del banco @bbva, a partir de diciembre casi van a cobrar comisión por respirar…",0,busqueda
227,borjaramosRM,Sat Oct 17 08:47:42 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
228,meiermq,Sat Oct 17 08:02:53 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
229,villelite,Sat Oct 17 07:58:55 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
230,Rbrichart,Sat Oct 17 07:52:10 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
231,dguino5,Sat Oct 17 07:08:15 +0000 2020,"RT @EstulinDaniel: 🤣🤣😂😂🤣🤣😂😂🤣🤣😂😂🤣🤣😂 Periodismo serio... patrocinado por Banco Santander, BBVA, el Pais, etc etc. Isabel Gemio: “Ahora más qu…",0,busqueda
